Plot,rep,Record_number,CO2_ppm,P_mBa,Flow,DT,Seconds,Hour,Date
1,1,553.5,416,1000.1,342.5,1.5,0.5,15H 52M 22.5S,23-03-13
1,3,556,417,1000.1,343.3333333333333,4,3,15H 52M 25S,23-03-13
1,6,558.5,418,1000.1,343,6.5,5.5,15H 52M 27.5S,23-03-13
1,8,562.5,419,1000.1,343.3333333333333,10.5,9.5,15H 52M 31.5S,23-03-13
1,14,569,420,1000.1,343,17,16,15H 52M 38S,23-03-13
1,21,574,421,1000.1,343,22,21,15H 52M 43S,23-03-13
1,24,579.5,422,1000.1,343.125,27.5,26.5,15H 52M 48.5S,23-03-13
1,32,584.5,423,1000.1,343,32.5,31.5,15H 52M 53.5S,23-03-13
1,34,588,424,1000.1,343,36,35,15H 52M 57S,23-03-13
1,39,592.5,425,1000.1,343,40.5,39.5,15H 53M 1.5S,23-03-13
1,43,597,426,1000.1,343.2,45,44,15H 53M 6S,23-03-13
1,48,604.5,427,1000.1,343.1,52.5,51.5,15H 53M 13.5S,23-03-13
1,58,612,428,1000.1,343,60,59,15H 53M 21S,23-03-13
1,63,619.5,429,1000.1,343,67.5,66.5,15H 53M 28.5S,23-03-13
1,73,627,430,1000.1,343,75,74,15H 53M 36S,23-03-13
1,78,634,431,1000.1,343.22222222222223,82,81,15H 53M 43S,23-03-13
1,87,640.5,432,1000.1,343,88.5,87.5,15H 53M 49.5S,23-03-13
1,91,648,433,1000.1,343.6363636363636,96,95,15H 53M 57.9090909090883S,23-03-13
1,102,656,434,1000.1,343,104,103,15H 54M 6S,23-03-13
1,107,664.5,435,1000.1,343,112.5,111.5,15H 54M 14.5S,23-03-13
1,119,674,436,1000.1,343.14285714285717,122,121,15H 54M 24S,23-03-13
1,126,681,437,1000.1,343,129,128,15H 54M 31S,23-03-13
1,133,687.5,438,1000.1,343,135.5,134.5,15H 54M 37.5S,23-03-13
1,139,693,439,1000.1,343,141,140,15H 54M 43S,23-03-13
1,144,699.5,440,1000.1,343,147.5,146.5,15H 54M 49.5S,23-03-13
1,152,709,441,1000.1,343.27272727272725,157,156,15H 54M 59S,23-03-13
1,163,717.5,442,1000.1,344.1666666666667,165.5,164.5,15H 55M 7.5S,23-03-13
1,169,726,443,1000.1,344,174,173,15H 55M 16S,23-03-13
2,1,811,408,1000.12,343,3,2,15H 56M 41S,23-03-13
2,6,815,409,1000.1,343,7,6,15H 56M 45S,23-03-13
2,9,819,410,1000.1,343,11,10,15H 56M 49S,23-03-13
2,14,824,411,1000.1,343,16,15,15H 56M 54S,23-03-13
2,19,830,412,1000.1,343,22,21,15H 57M 0S,23-03-13
2,26,837,413,1000.1142857142858,343,29,28,15H 57M 7S,23-03-13
2,33,841.5,414,1000.2,343,33.5,32.5,15H 57M 11.5S,23-03-13
2,35,843,415,1000.2,343,35,34,15H 57M 13S,23-03-13
2,36,845.5,416,1000.2,343,37.5,36.5,15H 57M 15.5S,23-03-13
2,40,849.5,417,1000.2,343,41.5,40.5,15H 57M 19.75S,23-03-13
2,44,855.5,418,1000.2,343,47.5,46.5,15H 57M 26.5S,23-03-13
2,52,863,419,1000.2,343,55,54,15H 57M 34S,23-03-13
2,59,867.5,420,1000.2,343,59.5,58.5,15H 57M 38.5S,23-03-13
2,61,871.5,421,1000.2,342.5,63.5,62.5,15H 57M 42.5S,23-03-13
2,67,877,422,1000.2,342.8,69,68,15H 57M 48S,23-03-13
2,72,884,423,1000.2,342.8888888888889,76,75,15H 57M 55S,23-03-13
2,81,890.5,424,1000.2,343,82.5,81.5,15H 58M 1.5S,23-03-13
2,85,898,425,1000.2,342.45454545454544,90,89,15H 58M 9S,23-03-13
2,96,907,426,1000.2,342,99,98,15H 58M 18S,23-03-13
2,103,913,427,1000.2,342.8,105,104,15H 58M 24S,23-03-13
2,108,919,428,1000.2,342.57142857142856,111,110,15H 58M 30S,23-03-13
2,115,927,429,1000.2,342,119,118,15H 58M 38S,23-03-13
2,124,934.5,430,1000.2,342.3333333333333,126.5,125.5,15H 58M 45.5S,23-03-13
2,130,942,431,1000.2,342.3333333333333,134,133,15H 58M 53S,23-03-13
2,139,949,432,1000.2,342.6,141,140,15H 59M 0S,23-03-13
2,144,954,433,1000.1800000000001,342,146,145,15H 59M 5S,23-03-13
2,149,959,434,1000.1,342.6,151,150,15H 59M 10S,23-03-13
2,154,965.5,435,1000.1,343,157.5,156.5,15H 59M 16.5S,23-03-13
2,162,976,436,1000.1,342.53846153846155,168,167,15H 59M 27S,23-03-13
2,175,986,437,1000.1,342.57142857142856,177.85714285714286,177,15H 59M 37S,23-03-13
3,1,1051,415,1000.0307692307692,342.0769230769231,7,6,16H 0M 42.3076923076951S,23-03-13
3,14,1064,416,1000,342.0769230769231,20,19,16H 0M 56S,23-03-13
3,27,1072,417,1000,342,28,27,16H 1M 4S,23-03-13
3,30,1075,416,1000,342,31,30,16H 1M 7S,23-03-13
3,33,1080.5,417,1000,342,36.5,35.5,16H 1M 12.5S,23-03-13
3,41,1090,418,1000,341.90909090909093,46,45,16H 1M 22S,23-03-13
3,52,1106,419,1000,342,62,61,16H 1M 38S,23-03-13
3,73,1120.5,420,1000,341.75,76.5,75.5,16H 1M 52.5S,23-03-13
3,81,1129,421,1000,342,85,84,16H 2M 1S,23-03-13
3,90,1134.5,422,1000,342,90.5,89.5,16H 2M 6.5S,23-03-13
3,92,1146,421,1000,341.7142857142857,102,101,16H 2M 18S,23-03-13
3,113,1161,422,1000,342,117,116,16H 2M 33S,23-03-13
3,122,1169.5,423,1000,341.75,125.5,124.5,16H 2M 41.5S,23-03-13
3,130,1177,424,1000,341.7142857142857,133,132,16H 2M 49S,23-03-13
3,137,1182,425,1000,341.6666666666667,138,137,16H 2M 54S,23-03-13
3,140,1185,424,1000,342,141,140,16H 2M 57S,23-03-13
3,143,1191.5,425,1000,342,147.5,146.5,16H 3M 3.5S,23-03-13
3,153,1198,426,1000,342,154,153,16H 3M 10S,23-03-13
3,156,1200.5,425,1000,342,156.5,155.5,16H 3M 12.5S,23-03-13
3,158,1205,426,1000,342,161,160,16H 3M 17S,23-03-13
3,165,1217.5,427,1000.0388888888889,342,173.33333333333334,172.5,16H 3M 29.5S,23-03-13
4,1,1389,422,1000.1,339.6666666666667,2,1,16H 6M 22S,23-03-13
4,4,1393.5,421,1000.1,339.8333333333333,6.5,5.5,16H 6M 26.5S,23-03-13
4,10,1397,422,1000.1,340,10,9,16H 6M 30S,23-03-13
4,11,1398.5,421,1000.1,340,11.5,10.5,16H 6M 31.5S,23-03-13
4,13,1403.5,422,1000.1,340,16.5,15.5,16H 6M 36.5S,23-03-13
4,21,1410,421,1000.1,340,23,22,16H 6M 43S,23-03-13
