Device,Date,Hour,Plot,Record_number,CO2_ppm,P_mBa,Flow,DT,Seconds
M5,23-03-13,15:52:22,1,553,416,1000.1,342,1,0
M5,23-03-13,15:52:23,1,554,416,1000.1,343,2,1
M5,23-03-13,15:52:24,1,555,417,1000.1,344,3,2
M5,23-03-13,15:52:25,1,556,417,1000.1,343,4,3
M5,23-03-13,15:52:26,1,557,417,1000.1,343,5,4
M5,23-03-13,15:52:27,1,558,418,1000.1,343,6,5
M5,23-03-13,15:52:28,1,559,418,1000.1,343,7,6
M5,23-03-13,15:52:29,1,560,419,1000.1,343,8,7
M5,23-03-13,15:52:30,1,561,419,1000.1,344,9,8
M5,23-03-13,15:52:31,1,562,419,1000.1,344,10,9
M5,23-03-13,15:52:32,1,563,419,1000.1,343,11,10
M5,23-03-13,15:52:33,1,564,419,1000.1,343,12,11
M5,23-03-13,15:52:34,1,565,419,1000.1,343,13,12
M5,23-03-13,15:52:35,1,566,420,1000.1,343,14,13
M5,23-03-13,15:52:36,1,567,420,1000.1,343,15,14
M5,23-03-13,15:52:37,1,568,420,1000.1,343,16,15
M5,23-03-13,15:52:38,1,569,420,1000.1,343,17,16
M5,23-03-13,15:52:39,1,570,420,1000.1,343,18,17
M5,23-03-13,15:52:40,1,571,420,1000.1,343,19,18
M5,23-03-13,15:52:41,1,572,420,1000.1,343,20,19
M5,23-03-13,15:52:42,1,573,421,1000.1,343,21,20
M5,23-03-13,15:52:43,1,574,421,1000.1,343,22,21
M5,23-03-13,15:52:44,1,575,421,1000.1,343,23,22
M5,23-03-13,15:52:45,1,576,422,1000.1,343,24,23
M5,23-03-13,15:52:46,1,577,422,1000.1,343,25,24
M5,23-03-13,15:52:47,1,578,422,1000.1,343,26,25
M5,23-03-13,15:52:48,1,579,422,1000.1,343,27,26
M5,23-03-13,15:52:49,1,580,422,1000.1,344,28,27
M5,23-03-13,15:52:50,1,581,422,1000.1,343,29,28
M5,23-03-13,15:52:51,1,582,422,1000.1,343,30,29
M5,23-03-13,15:52:52,1,583,422,1000.1,343,31,30
M5,23-03-13,15:52:53,1,584,423,1000.1,343,32,31
M5,23-03-13,15:52:54,1,585,423,1000.1,343,33,32
M5,23-03-13,15:52:55,1,586,424,1000.1,343,34,33
M5,23-03-13,15:52:56,1,587,424,1000.1,343,35,34
M5,23-03-13,15:52:57,1,588,424,1000.1,343,36,35
M5,23-03-13,15:52:58,1,589,424,1000.1,343,37,36
M5,23-03-13,15:52:59,1,590,424,1000.1,343,38,37
M5,23-03-13,15:53:00,1,591,425,1000.1,343,39,38
M5,23-03-13,15:53:01,1,592,425,1000.1,343,40,39
M5,23-03-13,15:53:02,1,593,425,1000.1,343,41,40
M5,23-03-13,15:53:03,1,594,425,1000.1,343,42,41
M5,23-03-13,15:53:04,1,595,426,1000.1,343,43,42
M5,23-03-13,15:53:05,1,596,426,1000.1,343,44,43
M5,23-03-13,15:53:06,1,597,426,1000.1,343,45,44
M5,23-03-13,15:53:07,1,598,426,1000.1,343,46,45
M5,23-03-13,15:53:08,1,599,426,1000.1,344,47,46
M5,23-03-13,15:53:09,1,600,427,1000.1,343,48,47
M5,23-03-13,15:53:10,1,601,427,1000.1,343,49,48
M5,23-03-13,15:53:11,1,602,427,1000.1,343,50,49
M5,23-03-13,15:53:12,1,603,427,1000.1,343,51,50
M5,23-03-13,15:53:13,1,604,427,1000.1,344,52,51
M5,23-03-13,15:53:14,1,605,427,1000.1,343,53,52
M5,23-03-13,15:53:15,1,606,427,1000.1,343,54,53
M5,23-03-13,15:53:16,1,607,427,1000.1,343,55,54
M5,23-03-13,15:53:17,1,608,427,1000.1,343,56,55
M5,23-03-13,15:53:18,1,609,427,1000.1,343,57,56
M5,23-03-13,15:53:19,1,610,428,1000.1,343,58,57
M5,23-03-13,15:53:20,1,611,428,1000.1,343,59,58
M5,23-03-13,15:53:21,1,612,428,1000.1,343,60,59
M5,23-03-13,15:53:22,1,613,428,1000.1,343,61,60
M5,23-03-13,15:53:23,1,614,428,1000.1,343,62,61
M5,23-03-13,15:53:24,1,615,429,1000.1,343,63,62
M5,23-03-13,15:53:25,1,616,429,1000.1,343,64,63
M5,23-03-13,15:53:26,1,617,429,1000.1,343,65,64
M5,23-03-13,15:53:27,1,618,429,1000.1,343,66,65
M5,23-03-13,15:53:28,1,619,429,1000.1,343,67,66
M5,23-03-13,15:53:29,1,620,429,1000.1,343,68,67
M5,23-03-13,15:53:30,1,621,429,1000.1,343,69,68
M5,23-03-13,15:53:31,1,622,429,1000.1,343,70,69
M5,23-03-13,15:53:32,1,623,429,1000.1,343,71,70
M5,23-03-13,15:53:33,1,624,429,1000.1,343,72,71
M5,23-03-13,15:53:34,1,625,430,1000.1,343,73,72
M5,23-03-13,15:53:35,1,626,430,1000.1,343,74,73
M5,23-03-13,15:53:36,1,627,430,1000.1,343,75,74
M5,23-03-13,15:53:37,1,628,430,1000.1,343,76,75
M5,23-03-13,15:53:38,1,629,430,1000.1,343,77,76
M5,23-03-13,15:53:39,1,630,431,1000.1,343,78,77
M5,23-03-13,15:53:40,1,631,431,1000.1,343,79,78
M5,23-03-13,15:53:41,1,632,431,1000.1,343,80,79
M5,23-03-13,15:53:42,1,633,431,1000.1,343,81,80
M5,23-03-13,15:53:43,1,634,431,1000.1,344,82,81
M5,23-03-13,15:53:44,1,635,431,1000.1,344,83,82
M5,23-03-13,15:53:45,1,636,431,1000.1,343,84,83
M5,23-03-13,15:53:46,1,637,431,1000.1,343,85,84
M5,23-03-13,15:53:47,1,638,431,1000.1,343,86,85
M5,23-03-13,15:53:48,1,639,432,1000.1,343,87,86
M5,23-03-13,15:53:49,1,640,432,1000.1,343,88,87
M5,23-03-13,15:53:50,1,641,432,1000.1,343,89,88
M5,23-03-13,15:53:51,1,642,432,1000.1,343,90,89
M5,23-03-13,15:53:52,1,643,433,1000.1,343,91,90
M5,23-03-13,15:53:54,1,644,433,1000.1,343,92,91
M5,23-03-13,15:53:55,1,645,433,1000.1,344,93,92
M5,23-03-13,15:53:56,1,646,433,1000.1,344,94,93
M5,23-03-13,15:53:57,1,647,433,1000.1,343,95,94
M5,23-03-13,15:53:58,1,648,433,1000.1,344,96,95
M5,23-03-13,15:53:59,1,649,433,1000.1,344,97,96
M5,23-03-13,15:54:00,1,650,433,1000.1,344,98,97
M5,23-03-13,15:54:01,1,651,433,1000.1,344,99,98
M5,23-03-13,15:54:02,1,652,433,1000.1,344,100,99
M5,23-03-13,15:54:03,1,653,433,1000.1,343,101,100
M5,23-03-13,15:54:04,1,654,434,1000.1,343,102,101
M5,23-03-13,15:54:05,1,655,434,1000.1,343,103,102
M5,23-03-13,15:54:06,1,656,434,1000.1,343,104,103
M5,23-03-13,15:54:07,1,657,434,1000.1,343,105,104
M5,23-03-13,15:54:08,1,658,434,1000.1,343,106,105
M5,23-03-13,15:54:09,1,659,435,1000.1,343,107,106
M5,23-03-13,15:54:10,1,660,435,1000.1,343,108,107
M5,23-03-13,15:54:11,1,661,435,1000.1,343,109,108
M5,23-03-13,15:54:12,1,662,435,1000.1,343,110,109
M5,23-03-13,15:54:13,1,663,435,1000.1,343,111,110
M5,23-03-13,15:54:14,1,664,435,1000.1,343,112,111
M5,23-03-13,15:54:15,1,665,435,1000.1,343,113,112
M5,23-03-13,15:54:16,1,666,435,1000.1,343,114,113
M5,23-03-13,15:54:17,1,667,435,1000.1,343,115,114
M5,23-03-13,15:54:18,1,668,435,1000.1,343,116,115
M5,23-03-13,15:54:19,1,669,435,1000.1,343,117,116
M5,23-03-13,15:54:20,1,670,435,1000.1,343,118,117
M5,23-03-13,15:54:21,1,671,436,1000.1,343,119,118
M5,23-03-13,15:54:22,1,672,436,1000.1,343,120,119
M5,23-03-13,15:54:23,1,673,436,1000.1,343,121,120
M5,23-03-13,15:54:24,1,674,436,1000.1,343,122,121
M5,23-03-13,15:54:25,1,675,436,1000.1,343,123,122
M5,23-03-13,15:54:26,1,676,436,1000.1,343,124,123
M5,23-03-13,15:54:27,1,677,436,1000.1,344,125,124
M5,23-03-13,15:54:28,1,678,437,1000.1,343,126,125
M5,23-03-13,15:54:29,1,679,437,1000.1,343,127,126
M5,23-03-13,15:54:30,1,680,437,1000.1,343,128,127
M5,23-03-13,15:54:31,1,681,437,1000.1,343,129,128
M5,23-03-13,15:54:32,1,682,437,1000.1,343,130,129
M5,23-03-13,15:54:33,1,683,437,1000.1,343,131,130
M5,23-03-13,15:54:34,1,684,437,1000.1,343,132,131
M5,23-03-13,15:54:35,1,685,438,1000.1,343,133,132
M5,23-03-13,15:54:36,1,686,438,1000.1,343,134,133
M5,23-03-13,15:54:37,1,687,438,1000.1,343,135,134
M5,23-03-13,15:54:38,1,688,438,1000.1,343,136,135
M5,23-03-13,15:54:39,1,689,438,1000.1,343,137,136
M5,23-03-13,15:54:40,1,690,438,1000.1,343,138,137
M5,23-03-13,15:54:41,1,691,439,1000.1,343,139,138
M5,23-03-13,15:54:42,1,692,439,1000.1,343,140,139
M5,23-03-13,15:54:43,1,693,439,1000.1,343,141,140
M5,23-03-13,15:54:44,1,694,439,1000.1,343,142,141
M5,23-03-13,15:54:45,1,695,439,1000.1,343,143,142
M5,23-03-13,15:54:46,1,696,440,1000.1,343,144,143
M5,23-03-13,15:54:47,1,697,440,1000.1,343,145,144
M5,23-03-13,15:54:48,1,698,440,1000.1,343,146,145
M5,23-03-13,15:54:49,1,699,440,1000.1,343,147,146
M5,23-03-13,15:54:50,1,700,440,1000.1,343,148,147
M5,23-03-13,15:54:51,1,701,440,1000.1,343,149,148
M5,23-03-13,15:54:52,1,702,440,1000.1,343,150,149
M5,23-03-13,15:54:53,1,703,440,1000.1,343,151,150
M5,23-03-13,15:54:54,1,704,441,1000.1,343,152,151
M5,23-03-13,15:54:55,1,705,441,1000.1,343,153,152
M5,23-03-13,15:54:56,1,706,441,1000.1,343,154,153
M5,23-03-13,15:54:57,1,707,441,1000.1,343,155,154
M5,23-03-13,15:54:58,1,708,441,1000.1,343,156,155
M5,23-03-13,15:54:59,1,709,441,1000.1,344,157,156
M5,23-03-13,15:55:00,1,710,441,1000.1,344,158,157
M5,23-03-13,15:55:01,1,711,441,1000.1,343,159,158
M5,23-03-13,15:55:02,1,712,441,1000.1,343,160,159
M5,23-03-13,15:55:03,1,713,441,1000.1,343,161,160
M5,23-03-13,15:55:04,1,714,441,1000.1,344,162,161
M5,23-03-13,15:55:05,1,715,442,1000.1,344,163,162
M5,23-03-13,15:55:06,1,716,442,1000.1,344,164,163
M5,23-03-13,15:55:07,1,717,442,1000.1,344,165,164
M5,23-03-13,15:55:08,1,718,442,1000.1,344,166,165
M5,23-03-13,15:55:09,1,719,442,1000.1,344,167,166
M5,23-03-13,15:55:10,1,720,442,1000.1,345,168,167
M5,23-03-13,15:55:11,1,721,443,1000.1,344,169,168
M5,23-03-13,15:55:12,1,722,443,1000.1,344,170,169
M5,23-03-13,15:55:13,1,723,443,1000.1,344,171,170
M5,23-03-13,15:55:14,1,724,443,1000.1,344,172,171
M5,23-03-13,15:55:15,1,725,443,1000.1,344,173,172
M5,23-03-13,15:55:16,1,726,443,1000.1,344,174,173
M5,23-03-13,15:55:17,1,727,443,1000.1,344,175,174
M5,23-03-13,15:55:18,1,728,443,1000.1,344,176,175
M5,23-03-13,15:55:19,1,729,443,1000.1,344,177,176
M5,23-03-13,15:55:20,1,730,443,1000.1,344,178,177
M5,23-03-13,15:55:21,1,731,443,1000.1,344,179,178
M5,23-03-13,15:55:22,1,732,444,1000.1,344,180,179
M5,23-03-13,15:55:23,1,733,444,1000.1,344,180,180
M5,23-03-13,15:55:24,1,734,444,1000.1,344,180,181
M5,23-03-13,15:55:25,1,735,444,1000.1,344,180,182
M5,23-03-13,15:55:26,1,736,444,1000.1,343,180,183
M5,23-03-13,15:55:27,1,737,444,1000.1,343,180,184
M5,23-03-13,15:55:28,1,738,444,1000.1,343,180,185
M5,23-03-13,15:56:39,2,809,408,1000.2,343,1,0
M5,23-03-13,15:56:40,2,810,408,1000.1,343,2,1
M5,23-03-13,15:56:41,2,811,408,1000.1,343,3,2
M5,23-03-13,15:56:42,2,812,408,1000.1,343,4,3
M5,23-03-13,15:56:43,2,813,408,1000.1,343,5,4
M5,23-03-13,15:56:44,2,814,409,1000.1,343,6,5
M5,23-03-13,15:56:45,2,815,409,1000.1,343,7,6
M5,23-03-13,15:56:46,2,816,409,1000.1,343,8,7
M5,23-03-13,15:56:47,2,817,410,1000.1,343,9,8
M5,23-03-13,15:56:48,2,818,410,1000.1,343,10,9
M5,23-03-13,15:56:49,2,819,410,1000.1,343,11,10
M5,23-03-13,15:56:50,2,820,410,1000.1,343,12,11
M5,23-03-13,15:56:51,2,821,410,1000.1,343,13,12
M5,23-03-13,15:56:52,2,822,411,1000.1,343,14,13
M5,23-03-13,15:56:53,2,823,411,1000.1,343,15,14
M5,23-03-13,15:56:54,2,824,411,1000.1,343,16,15
M5,23-03-13,15:56:55,2,825,411,1000.1,343,17,16
M5,23-03-13,15:56:56,2,826,411,1000.1,343,18,17
M5,23-03-13,15:56:57,2,827,412,1000.1,343,19,18
M5,23-03-13,15:56:58,2,828,412,1000.1,343,20,19
M5,23-03-13,15:56:59,2,829,412,1000.1,343,21,20
M5,23-03-13,15:57:00,2,830,412,1000.1,343,22,21
M5,23-03-13,15:57:01,2,831,412,1000.1,343,23,22
M5,23-03-13,15:57:02,2,832,412,1000.1,343,24,23
M5,23-03-13,15:57:03,2,833,412,1000.1,343,25,24
M5,23-03-13,15:57:04,2,834,413,1000.1,343,26,25
M5,23-03-13,15:57:05,2,835,413,1000.1,343,27,26
M5,23-03-13,15:57:06,2,836,413,1000.1,343,28,27
M5,23-03-13,15:57:07,2,837,413,1000.1,343,29,28
M5,23-03-13,15:57:08,2,838,413,1000.1,343,30,29
M5,23-03-13,15:57:09,2,839,413,1000.1,343,31,30
M5,23-03-13,15:57:10,2,840,413,1000.2,343,32,31
M5,23-03-13,15:57:11,2,841,414,1000.2,343,33,32
M5,23-03-13,15:57:12,2,842,414,1000.2,343,34,33
M5,23-03-13,15:57:13,2,843,415,1000.2,343,35,34
M5,23-03-13,15:57:14,2,844,416,1000.2,343,36,35
M5,23-03-13,15:57:15,2,845,416,1000.2,343,37,36
M5,23-03-13,15:57:16,2,846,416,1000.2,343,38,37
M5,23-03-13,15:57:17,2,847,416,1000.2,343,39,38
M5,23-03-13,15:57:18,2,848,417,1000.2,343,40,39
M5,23-03-13,15:57:19,2,849,417,1000.2,343,41,40
M5,23-03-13,15:57:20,2,850,417,1000.2,343,42,41
M5,23-03-13,15:57:22,2,851,417,1000.2,343,43,42
M5,23-03-13,15:57:23,2,852,418,1000.2,343,44,43
M5,23-03-13,15:57:24,2,853,418,1000.2,343,45,44
M5,23-03-13,15:57:25,2,854,418,1000.2,343,46,45
M5,23-03-13,15:57:26,2,855,418,1000.2,343,47,46
M5,23-03-13,15:57:27,2,856,418,1000.2,343,48,47
M5,23-03-13,15:57:28,2,857,418,1000.2,343,49,48
M5,23-03-13,15:57:29,2,858,418,1000.2,343,50,49
M5,23-03-13,15:57:30,2,859,418,1000.2,343,51,50
M5,23-03-13,15:57:31,2,860,419,1000.2,343,52,51
M5,23-03-13,15:57:32,2,861,419,1000.2,343,53,52
M5,23-03-13,15:57:33,2,862,419,1000.2,343,54,53
M5,23-03-13,15:57:34,2,863,419,1000.2,343,55,54
M5,23-03-13,15:57:35,2,864,419,1000.2,343,56,55
M5,23-03-13,15:57:36,2,865,419,1000.2,343,57,56
M5,23-03-13,15:57:37,2,866,419,1000.2,343,58,57
M5,23-03-13,15:57:38,2,867,420,1000.2,343,59,58
M5,23-03-13,15:57:39,2,868,420,1000.2,343,60,59
M5,23-03-13,15:57:40,2,869,421,1000.2,342,61,60
M5,23-03-13,15:57:41,2,870,421,1000.2,342,62,61
M5,23-03-13,15:57:42,2,871,421,1000.2,342,63,62
M5,23-03-13,15:57:43,2,872,421,1000.2,343,64,63
M5,23-03-13,15:57:44,2,873,421,1000.2,343,65,64
M5,23-03-13,15:57:45,2,874,421,1000.2,343,66,65
M5,23-03-13,15:57:46,2,875,422,1000.2,343,67,66
M5,23-03-13,15:57:47,2,876,422,1000.2,343,68,67
M5,23-03-13,15:57:48,2,877,422,1000.2,343,69,68
M5,23-03-13,15:57:49,2,878,422,1000.2,343,70,69
M5,23-03-13,15:57:50,2,879,422,1000.2,342,71,70
M5,23-03-13,15:57:51,2,880,423,1000.2,342,72,71
M5,23-03-13,15:57:52,2,881,423,1000.2,343,73,72
M5,23-03-13,15:57:53,2,882,423,1000.2,343,74,73
M5,23-03-13,15:57:54,2,883,423,1000.2,343,75,74
M5,23-03-13,15:57:55,2,884,423,1000.2,343,76,75
M5,23-03-13,15:57:56,2,885,423,1000.2,343,77,76
M5,23-03-13,15:57:57,2,886,423,1000.2,343,78,77
M5,23-03-13,15:57:58,2,887,423,1000.2,343,79,78
M5,23-03-13,15:57:59,2,888,423,1000.2,343,80,79
M5,23-03-13,15:58:00,2,889,424,1000.2,343,81,80
M5,23-03-13,15:58:01,2,890,424,1000.2,343,82,81
